,word,count,label
0,코멘트,32
1,상장,12
2,되다,9
3,1조,8
4,청구,8
5,액면,7
6,분할,7
7,비싸다,7
8,오다,7
9,없다,6
10,가치,6
11,사다,6
12,가다,6
13,2조,5
14,실적,5
15,보다,5
16,거래,5
17,지금,5
18,하나요,4
19,너무,4
20,매수,4
21,투자,3
22,반기,3
23,올리다,3
24,유상증자,3
25,수지,3
26,나오다,3
27,수수,3
28,공시,3
29,언제,3
30,신청,3
31,가요,3
32,컬리,3
33,빠르다,2
34,ipo,2
35,내년,2
36,이미,2
37,언급,2
38,제대로,2
39,교부,2
40,않다,2
41,그렇다,2
42,돈,2
43,무증,2
44,적다,2
45,문제,2
46,편지,2
47,하반기,2
48,센터,2
49,들어오다,2
50,안티,2
51,날아가다,2
52,3조,2
53,라니,2
54,나다,2
55,신고,2
56,괜찮다,2
57,매물,2
58,악의,2
59,어디서,2
60,확인,2
61,고객,2
62,희망,2
63,싸다,2
64,에나,2
65,백만원,2
66,못,2
67,무상증자,2
68,적자,2
69,오늘,2
70,예상,2
71,겁니다,2
72,70만원,2
73,시기,1
74,계획,1
75,주목,1
76,오히려,1
77,기관,1
78,아니다,1
79,제시,1
80,밸류에,1
81,재,1
82,시작,1
83,최대,1
84,금년,1
85,기사,1
86,비상,1
87,권유,1
88,위기,1
89,개,1
90,pre,1
91,수익,1
92,차라리,1
93,아마존,1
94,사라,1
95,흑자,1
96,3월,1
97,정기,1
98,주주총회,1
99,기대,1
100,22년,1
101,사람,1
102,축하,1
103,박스,1
104,미트,1
105,받다,1
106,상반기,1
107,기업가,1
108,조명,1
109,5조,1
110,달라,1
111,사기꾼,1
112,주의,1
113,필요,1
114,그나마,1
115,감사하다,1
116,감사,1
117,백도,1
118,혹시,1
119,사면,1
120,반토막,1
121,호구,1
122,쿠팡,1
123,박살,1
124,인가요,1
125,장주,1
126,회로,1
127,까진,1
128,완료,1
129,가능,1
130,끄다,1
131,가려지다,1
132,욕,1
133,후기,1
134,참석,1
135,예정,1
136,따블,1
137,작년,1
138,층,1
139,두다,1
140,기다리다,1
141,더벨,1
142,보시,1
143,동감,1
144,공모,1
145,장외,1
146,업황,1
147,SI,1
148,러시아,1
149,분하다,1
150,우크라이나,1
151,직접,1
152,그냥,1
153,구르다,1
154,안좋다,1
155,모이다,1
156,팬데믹,1
157,규모,1
158,일부,1
159,갈다,1
160,매출,1
161,3천억,1
162,이익,1
163,100억,1
164,남짓,1
165,항상,1
166,가장,1
167,저렴하다,1
168,노력,1
169,무조건,1
170,회,1
171,물량많,1
172,금액,1
173,성공하다,1
174,조용하다,1
175,언제나,1
176,먹다,1
177,스피드,1
178,일단,1
179,찍다,1
180,자다,1
181,판돈,1
182,100억원,1
183,크다,1
184,마음,1
185,표준,1
186,바꾸다,1
187,유통,1
188,망설이다,1
189,바이럴,1
190,막히다,1
191,아직,1
192,모르다,1
193,빨리,1
194,그래도,1
195,제일,1
196,뜸,1
197,사보다,1
198,매다,1
199,중소기업,1
200,여부,1
201,말고,1
202,올해,1
203,2400억,1
204,정도인,1
205,난후,1
206,평가,1
207,쏘다,1
208,아시아,1
209,넘기다,1
210,식수,1
211,시대,1
212,따위,1
213,답변,1
214,차례,1
215,안내,1
216,찬성,1
217,근데,1
218,현실,1
219,5천원,1
220,만에,1
221,무슨,1
222,미치다,1
223,우상,1
224,매매,1
225,밖에,1
226,걸리다,1
227,심보,1
228,왜케,1
229,떨어지다,1
230,주다,1
231,쓱,1
232,자공시,1
233,우선주,1
234,경제,1
235,ib,1
236,5천,1
237,계속,1
238,연락,1
239,글로벌,1
240,사모,1
241,1천억,1
242,들어온답니다,1
243,더,1
244,왜,1
245,물량,1
246,부담,1
247,줄다,1
248,앞,1
249,좋아지다,1
250,같다,1
251,상,1
252,장하다,1
253,최소,1
254,비결,1
